2025-11-28T05:10:16.647Z | INFO  | CONN:STATE_CHANGED | VPN state changed: Disconnected, Error: None, LocalIP: , RemoteIP: , Label:  | {"Caller":"LoggingWrapper.Origin_StateChanged:93"}
2025-11-28T05:10:17.080Z | INFO  | APP.UPDATE:CHECK | Checking for updates. | {"Caller":"NotifyingAppUpdate.UnsafeCheckForUpdate:104"}
2025-11-28T05:10:17.107Z | INFO  | API:REQUEST | GET "https://protonvpn.com/download/windows/x64/v1/version.json" | {"Caller":"LoggingHandler.LogHttpRequest:88"}
2025-11-28T05:10:17.623Z | INFO  | API:RESPONSE | GET "https://protonvpn.com/download/windows/x64/v1/version.json": 200 OK" | {"Caller":"LoggingHandler.LogHttpResponse:96"}
2025-11-28T05:14:27.991Z | INFO  | USER.CERT | Certificate set. The certificate expires in '11/29/2025 5:14:27 AM'. | {"Caller":"ConnectionCertificateCache.SetCertificate:91"}
2025-11-28T05:15:42.546Z | INFO  | APP.SERVICE:STOP | Service is stopping | {"Caller":"VpnService.OnStop:137"}
2025-11-28T05:15:42.546Z | INFO  | CONN.DISCONNECT | A disconnect was requested with error 'None'. | {"Caller":"ReconnectingWrapper.CancelTokenAndDisconnect:135"}
2025-11-28T05:15:42.546Z | INFO  | CONN.DISCONNECT | HandlingRequestsWrapper: Disconnect requested, queuing Disconnect | {"Caller":"HandlingRequestsWrapper.Disconnect:97"}
2025-11-28T05:15:42.547Z | INFO  | CONN:STATE_CHANGED | VPN state changed: Disconnected, Error: None, LocalIP: , RemoteIP: , Label:  | {"Caller":"LoggingWrapper.Origin_StateChanged:93"}
2025-11-28T05:15:42.549Z | INFO  | APP.SERVICE:STOP | === Proton VPN Service has exited === | {"Caller":"Bootstrapper.Start:102"}
